,city_state,donor_counts
5024,"Upper Saddle River, NJ",20
5025,"Carlinville, IL",20
5026,"Pierpont, OH",20
5027,"north attleboro, MA",20
5028,"Morrison, CO",20
5029,"Cabot, AR",20
5030,"west covina, CA",20
5031,"Beaver Falls, PA",20
5032,"Wellsville, KS",20
5033,"New Castle, VA",20
5034,"pendleton, IN",20
5035,"Talent, OR",20
5036,"pacifica, CA",20
5037,"hermosa beach, CA",20
5038,"McMurray, PA",20
5039,"Penn Valley, PA",20
5040,"Carpinteria, CA",20
5041,"Holliston, MA",20
5042,"Winfield, IL",20
5043,"Magna, UT",20
5044,"River Vale, NJ",20
5045,"Pahoa, HI",20
5046,"Coopersville, MI",20
5047,"Austin, MN",20
5048,"Island Park, NY",20
5049,"Orland, CA",20
5050,"Big Bear Lake, CA",20
5051,"ARCADIA, CA",20
5052,"Glendale, MO",20
5053,"San Antonio, FL",20
5054,"Marion, SC",20
5055,"Long Grove, IL",20
5056,"Aliquippa, PA",20
5057,"cleveland, OH",20
5058,"Closter, NJ",20
5059,"los gatos, CA",20
5060,"Port St. Lucie, FL",20
5061,"LAKE CHARLES, LA",20
5062,"Feasterville, PA",20
5063,"MOUNT ROYAL, NJ",20
5064,"BRIDGEWATER, NJ",20
5065,"CHARLESTON, SC",20
5066,"san pedro, CA",20
5067,"Millville, NJ",20
5068,"lansdale, PA",20
5069,"mechanicsburg, PA",20
5070,"elkins park, PA",20
5071,"Banning, CA",20
5072,"Temple, GA",20
5073,"Clarksdale, MS",20
5074,"Los Angles, CA",20
5075,"Leonia, NJ",20
5076,"BOULDER, CO",20
5077,"VALRICO, FL",20
5078,"Australia,   ",20
5079,"Ridgefield Park, NJ",20
5080,"Mount Joy, PA",20
5081,"Irvington, AL",20
5082,"Holden, MA",20
5083,"edmonds, WA",20
5084,"North Attleboro, MA",20
5085,"odessa, FL",20
5086,"jupiter, FL",20
5087,"Pharr, TX",20
5088,"Getzville, NY",20
5089,"Eldersburg, MD",20
5090,"Kill Devil Hills, NC",20
5091,"new canaan, CT",20
5092,"winnetka, IL",20
5093,"Itasca, IL",20
5094,"Avon lake, OH",20
5095,"Hyde Park, MA",20
5096,"ALLEN, TX",20
5097,"holmdel, NJ",20
5098,"Wadsworth, IL",20
5099,"Apalachin, NY",20
5100,"Clymer, PA",20
5101,"PILOT MOUNTAIN, NC",20
5102,"Pataskala, OH",20
5103,"dublin, CA",20
5104,"Gardnerville, NV",20
5105,"Capistrano Beach, CA",20
5106,"fullerton, CA",20
5107,"NORTH GRANBY, CT",20
5108,"APO, AE, NY",20
5109,"Shady Cove, OR",20
5110,"helotes, TX",20
5111,"west hempstead, NY",20
5112,"Mattydale, NY",20
5113,"Cobleskill, NY",20
5114,"larchmont, NY",20
5115,"Dunn, NC",20
5116,"Post Falls, ID",20
5117,"Ok, OK",20
5118,"ROGERS, AR",20
5119,"Fircrest, WA",20
5120,"Roselle, NJ",20
5121,"Bradford, MA",20
5122,"Cottage Grove, WI",20
5123,"Shrewsbury, NJ",20
5124,"GREENEVILLE, TN",20
5125,"Poughquag, NY",20
5126,"East Patchogue, NY",20
5127,"MINNEAPOLIS, MN",20
5128,"Blairstown, NJ",20
5129,"Millbrook, NY",20
5130,"Crete, IL",20
5131,"Michigan city, IN",20
5132,"Tennessee Ridge, TN",20
5133,"ruskin, FL",20
5134,"Edgewood, MD",20
5135,"ALBANY, OR",20
5136,"Elm City, NC",20
5137,"Mitchellville, MD",19
5138,"Provincetown, MA",19
5139,"Saratoga Springs, UT",19
5140,"Lewiston, ID",19
5141,"chatham, IL",19
5142,"Jacksonville Beach, FL",19
5143,"Timmonsville, SC",19
5144,"DeBary, FL",19
5145,"Magee, MS",19
5146,"finksburg, MD",19
5147,"lamy, NM",19
5148,"Jordan, MN",19
5149,"Riverdale, MI",19
5150,"Accident, MD",19
5151,"Cullman, AL",19
5152,"Saugus, MA",19
5153,"Cherokee, OK",19
5154,"redmond, WA",19
5155,"Montrose, CA",19
5156,"Rosharon, TX",19
5157,"Emmaus, PA",19
5158,"Kingston, NH",19
5159,"Vandalia, OH",19
5160,"Prince Frederick, MD",19
5161,"N. Las Vegas, NV",19
5162,"Waynesville, MO",19
5163,"Frederick, OK",19
5164,"stockton, CA",19
5165,"Broadlands, VA",19
5166,"Oregon, OH",19
5167,"brownsboro, TX",19
5168,"Bristol, VA",19
5169,"West St. Paul, MN",19
5170,"Dover, MA",19
5171,"Montpelier, VT",19
5172,"Sanbornton, NH",19
5173,"Chester, SC",19
5174,"Mooresville, IN",19
5175,"PLANT CITY, FL",19
5176,"manchester, NH",19
5177,"Beverly Hills, MI",19
5178,"Clarks Green, PA",19
5179,"boylston, MA",19
5180,"Wallkill, NY",19
5181,"buffalo grove, IL",19
5182,"Rocky Hill, CT",19
5183,"SEAFORD, DE",19
5184,"Harrells, NC",19
5185,"Troup, TX",19
5186,"Topsfield, MA",19
5187,"wilmette, IL",19
5188,"EDMOND, OK",19
5189,"schaumburg, IL",19
5190,"Rockton, IL",19
5191,"Osterville, MA",19
5192,"Chapel Hillq, NC",19
5193,"ARLINGTON, TX",19
5194,"Skaneateles, NY",19
5195,"Glenwood, MD",19
5196,"chula vista, CA",19
5197,"Dayton, ME",19
5198,"granada hills, CA",19
5199,"Arlington Hts, IL",19
5200,"Washington, NH",19
5201,"Roebling, NJ",19
5202,"MOORE, OK",19
5203,"Sewanee, TN",19
5204,"Los Osos, CA",19
5205,"Lee, FL",19
5206,"monroe twp, NJ",19
5207,"Blanchard, OK",19
5208,"wayne, NJ",19
5209,"Hudsonville, MI",19
5210,"Farmington, MN",19
5211,"cheverly, MD",19
5212,"Ida, MI",19
5213,"West Bridgewater, MA",19
5214,"Fishkill, NY",19
5215,"Calumet City, IL",19
5216,"Harbor Springs, MI",19
5217,"Godfrey, IL",19
5218,"morgan hill, CA",19
5219,"Riverdale, IL",19
5220,"Fort Washington, PA",19
5221,"Newton Grove, NC",19
5222,"Lakeside, CA",19
5223,"BRIDGEPORT, CT",19
5224,"Fort Riley, KS",19
5225,"Jaffrey, NH",19
5226,"Babson Park, FL",19
5227,"Emmitsburg, MD",19
5228,"East Berlin, PA",19
5229,"Elko, NV",19
5230,"Alton, IL",19
5231,"Moyock, NC",19
5232,"Princeton, WV",19
5233,"Lakeville, MA",19
5234,"Crowley, TX",19
5235,"park ridge, IL",19
5236,"Munford, TN",19
5237,"Bassett, VA",19
5238,"Kenwood, CA",19
5239,"Jenison, MI",19
5240,"Youngsville, NC",19
5241,"Houma, LA",19
5242,"Lucedale, MS",19
5243,"Johnstown, CO",19
5244,"Penn Hills, PA",19
5245,"Hallettsville, TX",19
5246,"Orting, WA",19
5247,"Greendale, WI",19
5248,"Fairfield, OH",19
5249,"West Lawn, PA",19
5250,"bayonne, NJ",19
5251,"Rydal, PA",19
5252,"Midland Park, NJ",19
5253,"Weare, NH",19
5254,"berwyn, IL",19
5255,"Old Hickory, TN",19
5256,"Grambling, LA",19
5257,"piedmont, CA",19
5258,"Rockaway Park, NY",19
5259,"detroit, MI",19
5260,"aspen, CO",19
5261,"Turner, ME",19
5262,"Lake View Terrace, CA",19
5263,"Pearl City, HI",19
5264,"Kellyville, OK",19
5265,"Lambertville, NJ",19
5266,"North Bethesda, MD",19
5267,"Bell, CA",19
5268,"Hesperus, CO",19
5269,"Willingboro, NJ",19
5270,"Hamilton, MT",19
5271,"Pleasant Prairie, WI",19
5272,"Covington, GA",19
5273,"FORT BRAGG, NC",19
5274,"Old Fort, TN",19
5275,"Roseland, NJ",19
5276,"Baxley, GA",19
5277,"Chicopee, MA",19
5278,"bradenton, FL",19
5279,"Unalaska, AK",19
5280,"Greenport, NY",19
5281,"Rio Rico, AZ",19
5282,"Lowell, IN",19
5283,"Edwardsburg, MI",19
5284,"Three Oaks, MI",19
5285,"Aberdeen, NJ",19
5286,"Bayside, WI",19
5287,"Marion, NC",19
5288,"Hoquiam, WA",19
5289,"newark, NJ",19
5290,"Beachwood, NJ",19
5291,"WOODLAND, WA",19
5292,"aventura, FL",19
5293,"chesterfield, MO",19
5294,"Derwood, MD",19
5295,"Alamogordo, NM",19
5296,"Piedmont, SC",19
5297,"VAN NUYS, CA",19
5298,"MADISONVILLE, TN",19
5299,"SPARTANBURG, SC",19
5300,"Wendell, NC",19
5301,"Clarkesville, GA",19
5302,"Indianola, MS",19
5303,"Wheeler, IN",19
5304,"Nunica, MI",19
5305,"Cumberland, ME",19
5306,"chico, CA",19
5307,"Odenville, AL",19
5308,"Broussard, LA",19
5309,"naugatuck, CT",19
5310,"glendale, AZ",19
5311,"roswell, GA",19
5312,"Hollidaysburg, PA",19
5313,"Pleasant Valley, NY",19
5314,"Buna, TX",19
5315,"Jasper, AL",19
5316,"Hillsboro, OH",19
5317,"Atlanta, TX",19
5318,"Fayetteville, NY",19
5319,"Caguas, PR",19
5320,"woodcliff lake, NJ",19
5321,"Durham, CA",19
5322,"Bessemer, AL",19
5323,"alpharetta, GA",19
5324,"Fork Union, VA",19
5325,"Mount Holly, NJ",18
5326,"Waterford, VA",18
5327,"LOS ALTOS HILLS, CA",18
5328,"FULLERTON, CA",18
5329,"campbell, CA",18
5330,"Brownstown, MI",18
5331,"fort lauderdale, FL",18
5332,"Bristol, FL",18
5333,"THE WOODLANDS, TX",18
5334,"roseland, NJ",18
5335,"Whitefish Bay, WI",18
5336,"Kirksey, KY",18
5337,"jamestown, CA",18
5338,"Cedarville, CA",18
5339,"Gretna, NE",18
5340,"South Richmond Hill, NY",18
5341,"roslindale, MA",18
5342,"Beckley, WV",18
5343,"Cortaro, AZ",18
5344,"South Daytona, FL",18
5345,"new port richey, FL",18
5346,"Pottersville, NJ",18
5347,"Washington D.C., DC",18
5348,"Brooklyn,, NY",18
5349,"New Albany, MS",18
5350,"Warrenton, NC",18
5351,"Advance, NC",18
5352,"Rantoul, IL",18
5353,"Lapeer, MI",18
5354,"Succasunna, NJ",18
5355,"Hood River, OR",18
5356,"Bethany, CT",18
5357,"South Ozone Park, NY",18
5358,"Millington, NJ",18
5359,"EL PASO, TX",18
5360,"Staten island, NY",18
5361,"Chelsea, MA",18
5362,"Clatskanie, OR",18
5363,"London, NY",18
5364,"Buckhannon, WV",18
5365,"CARROLLTON, TX",18
5366,"YARDLEY, PA",18
5367,"Valencia, PA",18
5368,"Pembroke, MA",18
5369,"valley stream, NY",18
5370,"Thompsons station, TN",18
5371,"Bellevue, ID",18
5372,"BH, CA",18
5373,"Oxford, CT",18
5374,"Point RIchmond, CA",18
5375,"arlington, TX",18
5376,"wesley chapel, FL",18
5377,"Shady Side, MD",18
5378,"Odem, TX",18
5379,"Brookhaven, PA",18
5380,"Weston, WV",18
5381,"Guaynabo, PR",18
5382,"Hebron, IN",18
5383,"Louisville, TN",18
5384,"CORDOVA, TN",18
5385,"Glendale, KY",18
5386,"Covington, KY",18
5387,"Pinckney, MI",18
5388,"Phillipsburg, NJ",18
5389,"Blue Ash, OH",18
5390,"Mcallen, TX",18
5391,"Loves Park, IL",18
5392,"saint louis, MO",18
5393,"cottage grove, MN",18
5394,"Cedar Knolls, NJ",18
5395,"Bristol, VT",18
5396,"HOBOKEN, NJ",18
5397,"Madison, FL",18
5398,"Florence, OR",18
5399,"westfield, NJ",18
5400,"pacific palisades, CA",18
5401,"Lisbon Falls, ME",18
5402,"Centralia, WA",18
5403,"Rehoboth Beach, DE",18
5404,"East Ridge, TN",18
5405,"Peyton, CO",18
5406,"Saint Helena, CA",18
5407,"Whiteland, IN",18
5408,"Fords, NJ",18
5409,"merion station, PA",18
5410,"ARGYLE, TX",18
5411,"Brandon, SD",18
5412,"Manhattan, IL",18
5413,"Powhatan, VA",18
5414,"Miramar Beach, FL",18
5415,"Pella, IA",18
5416,"Folly Beach, SC",18
5417,"Cedar Springs, MI",18
5418,"Salt lake city, UT",18
5419,"Wise, VA",18
5420,"Yelm, WA",18
5421,"Goddard, KS",18
5422,"ivins, UT",18
5423,"West Valley, UT",18
5424,"Hewitt, NJ",18
5425,"American Canyon, CA",18
5426,"WESTPORT, CT",18
5427,"Brentwood, NH",18
5428,"catonsville, MD",18
5429,"Silver Creek, NY",18
5430,"Kalkaska, MI",18
5431,"Pell City, AL",18
5432,"laguna hills, CA",18
5433,"Accord, NY",18
5434,"carthage, MO",18
5435,"Rockingham, NC",18
5436,"Kingsburg, CA",18
5437,"Lathan, NY",18
5438,"Albany, GA",18
5439,"New Hartford, CT",18
5440,"Twinsburg, OH",18
5441,"Perth Amboy, NJ",18
5442,"Spring Green, WI",18
5443,"Glen Arm, MD",18
5444,"Arverne, NY",18
5445,"Seneca, SC",18
5446,"Penn Yan, NY",18
5447,"Haslet, TX",18
5448,"McGrady, NC",18
5449,"Shepherdsville, KY",18
5450,"gardiner, ME",18
5451,"gresham, OR",18
5452,"Ben Wheeler, TX",18
5453,"New Era, MI",18
5454,"East Windsor, CT",18
5455,"Milford, MA",18
5456,"New Sweden, ME",18
5457,"Malone, NY",18
5458,"Bedford, VA",18
5459,"Griswold, CT",18
5460,"Morton, PA",18
5461,"Moorhead, MS",18
5462,"Temple Hills, MD",18
5463,"Lino Lakes, MN",18
5464,"Watertown, Mass, MA",18
5465,"Mt. Airy, MD",18
5466,"Eden, NC",18
5467,"Mullins, SC",18
5468,"Rockford, MI",18
5469,"Jersey city, NJ",18
5470,"Rockford, MN",18
5471,"Harrison Township, MI",18
5472,"ann arbor, MI",18
5473,"Pittsburg, KS",18
5474,"Traphill, NC",18
5475,"delray beach, FL",18
5476,"North Royalton, OH",18
5477,"elk grove, CA",18
5478,"Keene, NH",18
5479,"Horn Lake, MS",18
5480,"Southington, OH",18
5481,"Benson, NC",18
5482,"Lake Saint Louis, MO",18
5483,"Guthrie, OK",18
5484,"Middlesex, NJ",18
5485,"Atlantic Highlands, NJ",18
5486,"Manlius, NY",18
5487,"Brooklyn, MD",18
5488,"Boonsboro, MD",18
5489,"Neptune, NJ",18
5490,"Elverta, CA",18
5491,"MOORESVILLE, IN",18
5492,"mahopac, NY",18
5493,"Canton, IL",18
5494,"Volo, IL",18
5495,"Glasford, IL",18
5496,"annapolis, MD",18
5497,"Mission HIlls, CA",18
5498,"Tullytown, PA",18
5499,"CANTON, CT",18
5500,"Canaan, NH",18
5501,"Wood Dale, IL",18
5502,"Manchester, MA",18
5503,"Saskatoon, CA",18
5504,"Huntington beach, CA",18
5505,"Singer Island, FL",18
5506,"Cardiff, CA",18
5507,"Sauk City, WI",18
5508,"University Park, PA",18
5509,"lawrenceville, NJ",17
5510,"Troutman, NC",17
5511,"fairfield, CT",17
5512,"Taft, CA",17
5513,"Owings, MD",17
5514,"Spring Lake, NC",17
5515,"FOLSOM, CA",17
5516,"wading river, NY",17
5517,"Cahokia, IL",17
5518,"Lindon, UT",17
5519,"Fort Thomas, KY",17
5520,"Battle Ground, WA",17
5521,"Sharon Hill, PA",17
5522,"La Marque, TX",17
5523,"Corning, NY",17
5524,"KC, MO",17
5525,"East Moriches, NY",17
5526,"Pilot Point, TX",17
5527,"Toronto, Ontario,   ",17
5528,"Stanley, KS",17
5529,"T, FL",17
5530,"Moss Beach, CA",17
5531,"WOODSTOCK, GA",17
5532,"Ceres, CA",17
5533,"Disputanta, VA",17
5534,"Bolivar, MO",17
5535,"Indianpolis, IN",17
5536,"Lehigh Acres, FL",17
5537,"Seaside, OR",17
5538,"Clio, SC",17
5539,"cypress, CA",17
5540,"YONKERS, NY",17
5541,"milford, CT",17
5542,"Franklinton, NC",17
5543,"Diana, TX",17
5544,"parrish, FL",17
5545,"East Providence, RI",17
5546,"Lyman, SC",17
5547,"Edinburgh, IN",17
5548,"Weedville, PA",17
5549,"Tybee Island, GA",17
5550,"Dryden, MI",17
5551,"Atlantic Beach, NY",17
5552,"Champlin, MN",17
5553,"Monroe, WI",17
5554,"Boone, IA",17
5555,"marlboro, NJ",17
5556,"Kenvil, NJ",17
5557,"Belcamp, MD",17
5558,"pensacola, FL",17
5559,"TORRANCE, CA",17
5560,"Frontenac, MO",17
5561,"Lunenburg, MA",17
5562,"South Grafton, MA",17
5563,"Land O'Lakes, FL",17
5564,"Medford, OK",17
5565,"Ridgefield, NJ",17
5566,"West Yellowstone, MT",17
5567,"Erwin, TN",17
5568,"Corona Del Mar, CA",17
5569,"Fremont, OH",17
5570,"Joshua Tree, CA",17
5571,"Alcoa, TN",17
5572,"Wolverine, MI",17
5573,"Mt. Pleasant, MI",17
5574,"Shadow Hills, CA",17
5575,"Fife, WA",17
5576,"Eloy, AZ",17
5577,"Bellbrook, OH",17
5578,"Oslo, MN",17
5579,"arcadia, CA",17
5580,"Utica, MI",17
5581,"DENMARK,   ",17
5582,"lake forest, IL",17
5583,"ASBURY PARK, NJ",17
5584,"Cedar Lake, IN",17
5585,"CHICO, CA",17
5586,"Fort Myers Beach, FL",17
5587,"Eau claire, WI",17
5588,"Brunswick, MD",17
5589,"Lordsburg, NM",17
5590,"High Bridge, NJ",17
5591,"bellingham, WA",17
5592,"Steilacoom, WA",17
5593,"Fowler, CA",17
5594,"west long branch, NJ",17
5595,"slidell, LA",17
5596,"westwood, NJ",17
5597,"Lake View, NY",17
5598,"Honeoye Falls, NY",17
5599,"Van Buren Twp, MI",17
5600,"Lloyd Harbor, NY",17
5601,"Sylvan Lake, MI",17
5602,"arlington heights, IL",17
5603,"Del Rio, TX",17
5604,"Irasburg, VT",17
5605,"New Hope, MN",17
5606,"Franklinville, NJ",17
5607,"Sacred Heart, MN",17
5608,"Commerce, MI",17
5609,"Thomasville, GA",17
5610,"Sidney, MT",17
5611,"Fort Leonard Wood, MO",17
5612,"Vicksburg, MI",17
5613,"Randolph, ME",17
5614,"Washington, MI",17
5615,"Manitowoc, WI",17
5616,"Mpls, MN",17
5617,"Lake Wales, FL",17
5618,"KENT, WA",17
5619,"Hodgenville, KY",17
5620,"Clark, NJ",17
5621,"Brookings, SD",17
5622,"Marion, IN",17
5623,"Glen Carbon, IL",17
5624,"Kista 164 32 Sweden, NY",17
5625,"Arlington, DC",17
5626,"WIMBERLEY, TX",17
5627,"Bloomsburg, PA",17
5628,"Jamison, PA",17
5629,"Olney, IL",17
5630,"New Cumberland, WV",17
5631,"Clinton, SC",17
5632,"Newport news, VA",17
5633,"Leechburg, PA",17
5634,"nottingham, NH",17
5635,"Raymore, MO",17
5636,"Winside, NE",17
5637,"LIVINGSTON, AL",17
5638,"Lemoyne, PA",17
5639,"Young Harris, GA",17
5640,"Flat Rock, MI",17
5641,"Prospect Heights, IL",17
5642,"ROCKVILLE CENTRE, NY",17
5643,"New Palestine, IN",17
5644,"rye, NY",17
5645,"Claymont, DE",17
5646,"Carroll, IA",17
5647,"Ho-Ho-Kus, NJ",17
5648,"Waynesboro, VA",17
5649,"Spring Valley, NY",17
5650,"Crandall, GA",17
5651,"urbana, IL",17
5652,"Bondurant, IA",17
5653,"Minden, NV",17
5654,"Monroe Twp., NJ",17
5655,"Otsego, MN",17
5656,"ORINDA, CA",17
5657,"El Granada, CA",17
5658,"Orchard Lake, MI",17
5659,"Youngtown, AZ",17
5660,"Leland, MI",17
5661,"Haddon Twp., NJ",17
5662,"Universal City, CA",17
5663,"Belvidere, IL",17
5664,"Hanahan, SC",17
5665,"Groveport, OH",17
5666,"Mc Donald, PA",17
5667,"Columbia, CT",17
5668,"Mount Desert, ME",17
5669,"East Dundee, IL",17
5670,"lowell, MA",17
5671,"Elberton, GA",17
5672,"Ebensburg, PA",17
5673,"Bridgeview, IL",17
5674,"Salt Lake, UT",17
5675,"Elburn, IL",17
5676,"Dardenne Prairie, MO",17
5677,"Ruleville, MS",17
5678,"milwaukie, OR",17
5679,"Grosse Pointe Farms, MI",17
5680,"Coggon, IA",17
5681,"Augusta, ME",17
5682,"Concordville, PA",17
5683,"Taos, NM",17
5684,"Clementon, NJ",17
5685,"Glencoe, MO",17
5686,"Clarks Summit, PA",17
5687,"Burnwell, KY",17
5688,"SIDNEY, NE",17
5689,"Keokuk, IA",17
5690,"Ludington, MI",17
5691,"chandler, AZ",17
5692,"Brainerd, MN",17
5693,"southfield, MI",17
5694,"Gobles, MI",17
5695,"Mendota Heights, MN",17
5696,"Fremont, NE",17
5697,"Strawberry Point, IA",17
5698,"Elizabethtown, PA",17
5699,"Shelton, WA",17
5700,"Northlake, IL",17
5701,"Rochelle, IL",17
5702,"Tequesta, FL",17
5703,"CastroValley, CA",17
5704,"Williamsport, PA",17
5705,"INGLEWOOD, CA",17
5706,"Diamond Springs, CA",17
5707,"livermore, CA",17
5708,"Decatur, AL",17
5709,"washougal, WA",17
5710,"South Padre Island, TX",17
5711,"Big Spring, TX",17
5712,"Blairsville, GA",17
5713,"Foley, AL",17
5714,"San Antonio TX, TX",17
5715,"Newkirk, OK",17
5716,"Liberty Township, OH",17
5717,"Hudson, IA",17
5718,"Swisher, IA",17
5719,"Delran, NJ",17
5720,"langhorne, PA",17
5721,"South Amboy, NJ",17
5722,"kenmore, NY",17
5723,"Nicholasville, KY",17
5724,"st francis, SD",17
5725,"New Baltimore, MI",17
5726,"springfield, VA",16
5727,"LAS CRUCES, NM",16
5728,"virginia beach, VA",16
5729,"downey, CA",16
5730,"College Point, NY",16
5731,"elgin, IL",16
5732,"The Village, OK",16
5733,"Baltimore, IL",16
5734,"baton rouge, LA",16
5735,"ORMOND BEACH, FL",16
5736,"Woodland hills, CA",16
5737,"Niles, MI",16
5738,"Belmar, NJ",16
5739,"UNION CITY, CA",16
5740,"St. Marys, PA",16
5741,"SCHAUMBURG, IL",16
5742,"Jopin, MO",16
5743,"Black Diamond, WA",16
5744,"MECHANICSBURG, PA",16
5745,"Detroit Lakes, MN",16
5746,"Stratham, NH",16
5747,"pelham, NY",16
5748,"Lorena, TX",16
5749,"West Hempstead, NY",16
5750,"Glenpool, OK",16
5751,"Parrish, FL",16
5752,"Blaine, MN",16
5753,"Whitestown, IN",16
5754,"Hastings, NE",16
5755,"Clay, NY",16
5756,"Ft Myers, FL",16
5757,"TRACY, CA",16
5758,"Houson, TX",16
5759,"Highlands, NJ",16
5760,"Caldwell, NJ",16
5761,"Kemah, TX",16
5762,"Hebron, OH",16
5763,"WHEELING, IL",16
5764,"Cold Spring, NY",16
5765,"Elkhorn, WI",16
5766,"oceanside, CA",16
5767,"Valdez, AK",16
5768,"Portales, NM",16
5769,"tecumseh, OK",16
5770,"Dillon, CO",16
5771,"Yorktown Hts, NY",16
5772,"NAVARRE, FL",16
5773,"kihei, HI",16
5774,"Perrinton, MI",16
5775,"Latrobe, PA",16
5776,"Monticello, FL",16
5777,"Whitwell, TN",16
5778,"Grand Terrace, CA",16
5779,"PLYMOUTH, NH",16
5780,"CLEVELAND HEIGHTS, OH",16
5781,"CANADA V5K 2Y1, NY",16
5782,"Mechanicville, NY",16
5783,"Tokyo, 121-0051, JAPAN, NY",16
5784,"kenosha, WI",16
5785,"cresskill, NJ",16
5786,"Central, SC",16
5787,"easton, MD",16
5788,"Lakeway, TX",16
5789,"Sea Cliff, NY",16
5790,"Buckley, WA",16
5791,"Farmington hills, MI",16
5792,"WOODLAND HILLS, CA",16
5793,"Winterport, ME",16
5794,"Pacheco, CA",16
5795,"Narragansett, RI",16
5796,"Monroe, NJ",16
5797,"Rescue, CA",16
5798,"auburn, WA",16
5799,"Peru, IL",16
5800,"Beech Island, SC",16
5801,"Mineral, VA",16
5802,"LaVista, NE",16
5803,"Acushnet, MA",16
5804,"fort Wayne, IN",16
5805,"Lathrup Village, MI",16
5806,"Richboro, PA",16
5807,"North Lauderdale, FL",16
5808,"Carnegie, PA",16
5809,"APO AE, NY",16
5810,"Greenville, DE",16
5811,"elkton, MD",16
5812,"Indialantic, FL",16
5813,"Barstow, CA",16
5814,"Haines City, FL",16
5815,"Central Islip, NY",16
5816,"Richton Park, IL",16
5817,"south gate, CA",16
5818,"Belgrade, ME",16
5819,"Florence, KY",16
5820,"Montoursville, PA",16
5821,"hampton, VA",16
5822,"west orange, NJ",16
5823,"PASADENA, MD",16
5824,"Albertson, NY",16
5825,"Grantsburg, WI",16
5826,"Harvest, AL",16
5827,"Darien, GA",16
5828,"Snow Camp, NC",16
5829,"Gales Ferry, CT",16
5830,"W Newton, MA",16
5831,"East Norwich, NY",16
5832,"Landing, NJ",16
5833,"Willard, OH",16
5834,"City of Industry, CA",16
5835,"Boring, OR",16
5836,"Ruidoso Downs, NM",16
5837,"grand blanc, MI",16
5838,"Princeton, TX",16
5839,"South Holland, IL",16
5840,"North Haledon, NJ",16
5841,"Charlestown, RI",16
5842,"Culver, IN",16
5843,"Keswick, VA",16
5844,"Leland, IL",16
5845,"West Kingston, RI",16
5846,"West islip, NY",16
5847,"Rutherfordton, NC",16
5848,"Brevard, NC",16
5849,"everett, WA",16
5850,"Franklin, KY",16
5851,"Russellville, AR",16
5852,"Hopkins, MN",16
5853,"Bourne, MA",16
5854,"palm harbor, FL",16
5855,"Steger, IL",16
5856,"Zion, IL",16
5857,"TUCKER, GA",16
5858,"Purcellville, VA",16
5859,"Grants, NM",16
5860,"SAN CLEMENTE, CA",16
5861,"Chesterbrook, PA",16
5862,"Manns Choice, PA",16
5863,"Murray Hill, NJ",16
5864,"Owens Cross Roads, AL",16
5865,"Versailles, KY",16
5866,"Coto de Caza, CA",16
5867,"Edgewood, WA",16
5868,"Jamesburg, NJ",16
5869,"Stewartsville, NJ",16
5870,"Williamsburg, KY",16
5871,"Finksburg, MD",16
5872,"South Royalton, VT",16
5873,"Ostrander, OH",16
5874,"Cache, OK",16
5875,"Lincroft, NJ",16
5876,"Forest hills, NY",16
5877,"Melrose Park, IL",16
5878,"hyattsville, MD",16
5879,"Oakfield, WI",16
5880,"merrick, NY",16
5881,"Saint Simons, GA",16
5882,"tempe, AZ",16
5883,"Texas City, TX",16
5884,"Alb, NM",16
5885,"Williston, VT",16
5886,"coral gables, FL",16
5887,"BURBANK, CA",16
5888,"Grasonville, MD",16
5889,"Ellenton, FL",16
5890,"Henderson, CO",16
5891,"Solon, IA",16
5892,"folsom, CA",16
5893,"Dunbar, WV",16
5894,"Mount Morris, MI",16
5895,"wallingford, CT",16
5896,"Avella, PA",16
5897,"Perry, GA",16
5898,"Merion, PA",16
5899,"Tooele, UT",16
5900,"Tahlequah, OK",16
5901,"Canyon, TX",16
5902,"Palenville, NY",16
5903,"North Massapequa, NY",16
5904,"Monmouth,, OR",16
5905,"fairview park, OH",16
5906,"2334 EC, The Netherlands, NY",16
5907,"MANDEVILLE, LA",16
5908,"Briarwood, NY",16
5909,"TROY, OH",16
5910,"FORT WAYNE, IN",16
5911,"Six Mile, SC",16
5912,"Bucyrus, OH",16
5913,"Demarest, NJ",16
5914,"LITHIA, FL",16
5915,"cedar park, TX",16
5916,"Lopez Island, WA",16
5917,"SALEM, OR",16
5918,"Hebron, CT",16
5919,"Arcadia, FL",16
5920,"Foxboro, MA",16
5921,"Pinetops, NC",16
5922,"Forest Lake, MN",16
5923,"Cushing, OK",16
5924,"Cibolo, TX",16
5925,"Senatobia, MS",16
5926,"Emington, IL",16
5927,"Hammondsport, NY",16
5928,"Port Huron, MI",16
5929,"nashua, NH",16
5930,"Clarkston, GA",16
5931,"prior lake, MN",16
5932,"Farmville, VA",16
5933,"Chamblee, GA",16
5934,"dacula, GA",16
5935,"Deer Isle, ME",16
5936,"Miller Place, NY",16
5937,"kennett square, PA",16
5938,"Wrentham, MA",16
5939,"Stevensville, MD",16
5940,"Leland, NC",16
5941,"Torrington, CT",16
5942,"Zanesville, OH",16
5943,"Stevensville, MT",16
5944,"Union City, TN",16
5945,"Kinnelon, NJ",16
5946,"Rexburg, ID",15
5947,"Fairborn, OH",15
5948,"Green Brook, NJ",15
5949,"Orange, NJ",15
5950,"Chardon, OH",15
5951,"Walled Lake, MI",15
5952,"Ny, NY",15
